epoch,train_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_specificity,val_auc,val_avg_precision,val_mcc,val_tn,val_fp,val_fn,val_tp,val_loss
1,0.3526071415046792,0.9042039972432805,0.9042053766505177,0.9059474412171508,0.9022038567493113,0.904071773636991,0.9062068965517242,0.965629334093284,0.9672823245648319,0.8084153609822258,657,68,71,655,0.23598878687410663
2,0.20429806542410628,0.8911095796002757,0.8910696304740191,0.8506172839506173,0.9490358126721763,0.8971354166666666,0.833103448275862,0.9625515341502803,0.9604079946872346,0.787498755428529,604,121,37,689,0.304207602209013
3,0.14754379983843957,0.9104066161268091,0.9104065735727178,0.9104683195592287,0.9104683195592287,0.9104683195592287,0.9103448275862069,0.9656198347107438,0.9682282053492159,0.8208131471454355,660,65,65,661,0.2585474371006372
4,0.11413938275329896,0.8890420399724328,0.8890196637218581,0.8654592496765847,0.9214876033057852,0.8925950633755837,0.856551724137931,0.9577923434976726,0.9586602669447408,0.7797120921293831,621,104,57,669,0.31794906535450956
5,0.10830606343703233,0.9117849758787043,0.9117659352142111,0.8903394255874674,0.9393939393939394,0.9142091152815014,0.8841379310344828,0.9658867673601216,0.9680436140966951,0.8248178556224665,641,84,44,682,0.29182521517495713
6,0.07555323251018634,0.8966230186078566,0.8966115702479338,0.884,0.9132231404958677,0.8983739837398373,0.88,0.9589313194642348,0.9630627562619173,0.7936756351935341,638,87,63,663,0.3575742573757816
7,0.06711196616441628,0.9007580978635424,0.9007257528260664,0.8664987405541562,0.9476584022038568,0.9052631578947369,0.8537931034482759,0.9697207181533201,0.972815613612613,0.8050477244594599,619,106,38,688,0.35353336064754726
8,0.061198770327683887,0.90144727773949,0.9014315569487983,0.8840579710144928,0.9242424242424242,0.9037037037037037,0.8786206896551724,0.9669516481428707,0.9652976730993763,0.8037202005767902,637,88,55,671,0.3269181056814634
