method,accuracy,f1,auc,balanced_accuracy,precision,recall,specificity,avg_precision,mcc,tn,fp,fn,tp
Supervised Baseline (nb02),0.8356,0.8421,0.8928,,,,,,,,,,
SimCLR — Linear Probe,0.8471074380165289,0.8475274725274725,0.9198785751553384,0.8471128397286913,0.8440492476060192,0.8510344827586207,0.8431911966987621,0.9152176521315015,0.6942414855431658,613.0,114.0,108.0,617.0
SimCLR — Full Fine-tuning,0.8767217630853994,0.8752613240418119,0.9568714129867666,0.8767072997201537,0.8845070422535212,0.8662068965517241,0.8872077028885832,0.9520500488246515,0.7535969173858404,645.0,82.0,97.0,628.0
